price,area,rooms,balcony,sauna,category,neighborhood,city,postcode,deal_type
1090.0,44.0,2.0,False,False,kerrostalo,munkkisaari,helsinki,00150,rent
920.0,57.0,2.0,True,True,kerrostalo,pohjois-leppävaara,espoo,02650,rent
680.0,31.5,1.0,True,False,kerrostalo,martinlaakso,vantaa,01620,rent
790.0,45.0,2.0,True,True,kerrostalo,tikkurila,vantaa,54410,rent
888.0,33.0,1.0,False,False,kerrostalo,helsingin keskusta,helsinki,32200,rent
740.0,21.0,1.0,True,False,kerrostalo,etelä-haaga,helsinki,15540,rent
899.0,51.5,2.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
1099.0,63.0,3.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
734.0,21.5,1.0,True,False,kerrostalo,leppävaara,espoo,02650,rent
729.0,26.0,1.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
725.0,21.5,1.0,False,False,kerrostalo,leppävaara,espoo,02650,rent
729.0,28.5,1.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
1099.0,63.0,3.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
708.0,21.5,1.0,False,False,kerrostalo,leppävaara,espoo,02650,rent
899.0,47.5,2.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
1030.0,45.0,1.0,False,False,kerrostalo,arabianranta,helsinki,00560,rent
899.0,47.5,2.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
990.0,43.5,1.0,False,False,kerrostalo,arabianranta,helsinki,00560,rent
658.0,27.0,1.0,False,False,kerrostalo,malminiitty,vantaa,01350,rent
1069.0,59.5,2.0,False,False,kerrostalo,itäkeskus,helsinki,00930,rent
729.0,28.5,1.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
729.0,28.0,1.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
910.0,38.0,1.0,False,False,kerrostalo,kruununhaka,helsinki,00170,rent
1066.0,50.0,2.0,False,False,kerrostalo,kontula,helsinki,00940,rent
1099.0,63.0,3.0,False,False,kerrostalo,keimolanmäki,vantaa,01700,rent
1236.0,78.0,3.0,False,True,kerrostalo,pitäjänmäki,helsinki,INKEROINEN,rent
1198.0,67.0,3.0,False,False,kerrostalo,pihlajamäki,helsinki,00710,rent
904.0,38.5,1.0,False,False,kerrostalo,tikkurila,vantaa,01370,rent
1096.0,46.5,2.0,True,True,kerrostalo,herttoniemi,helsinki,00880,rent
814.0,48.0,2.0,False,False,kerrostalo,malminiitty,vantaa,01350,rent
781.0,27.5,1.0,False,False,kerrostalo,tikkurila,vantaa,01370,rent
1549.0,68.5,2.0,False,False,kerrostalo,etu-töölö,helsinki,00120,rent
785.0,34.0,1.0,False,False,kerrostalo,alppila,helsinki,00077,rent
899.0,36.0,2.0,True,False,kerrostalo,alppila,helsinki,00510,rent
779.0,37.0,1.0,False,False,kerrostalo,kivistö,vantaa,01700,rent
1473.0,64.0,2.0,True,True,kerrostalo,kalasatama,helsinki,00540,rent
1009.0,47.5,2.0,False,False,kerrostalo,tikkurila,vantaa,01300,rent
773.0,26.0,1.0,False,False,kerrostalo,tikkurila,vantaa,01300,rent
762.0,26.0,1.0,False,False,kerrostalo,tikkurila,vantaa,01300,rent
812.0,28.0,1.0,False,False,kerrostalo,tikkurila,vantaa,01300,rent
820.0,45.0,2.0,False,False,kerrostalo,matinkylä,espoo,60200,rent
2500.0,215.0,5.0,True,True,omakotitalo,mankkaa,espoo,02180,rent
790.0,38.5,1.0,False,False,kerrostalo,espoonlahti,espoo,02320,rent
750.0,30.0,1.0,False,True,omakotitalo,mankki,espoo,02780,rent
840.0,26.5,1.0,True,False,kerrostalo,pitäjänmäki,helsinki,00380,rent
979.0,57.5,2.0,False,False,kerrostalo,pikku huopalahti,helsinki,00300,rent
989.0,24.5,1.0,False,False,kerrostalo,jätkäsaari,helsinki,00220,rent
945.0,47.0,2.0,False,True,kerrostalo,leppävaara,espoo,02600,rent
